[0] N(41) HP(135) PP(168) HA(175) HM(186) PM(195) PA(243)
[1291] N(494) HP(1974) HA(2509) HM(2620) PM(3077) PP(3130) PA(4044)
[1292] N(349) HP(1387) HA(1758) HM(1800) PP(2132) PA(2216) PM(2300)
[1293] N(197) HP(738) HA(942) HM(959) PM(988) PP(1124) PA(1459)
[1294] N(119) HP(430) HA(558) HM(559) PP(706) PA(759) PM(806)
[1295] N(37) HP(121) PP(141) PM(156) HA(156) HM(157) PA(164)
[1296] N(459) HP(1874) HA(2343) HM(2435) PP(2712) PM(2910) PA(3494)
[1297] N(467) HP(1914) HA(2402) HM(2479) PM(2944) PA(3382) PP(3951)
[1298] N(425) HP(1736) HA(2166) HM(2221) PM(2705) PP(2759) PA(3056)
[1299] N(504) HP(2091) HA(2621) HM(2705) PM(3042) PP(3418) PA(3553)
[1300] N(137) HP(503) HA(639) HM(653) PM(718) PA(775) PP(830)
[1301] N(588) HP(2430) HA(3061) HM(3171) PP(3654) PM(3814) PA(4230)
[1302] N(32) HP(106) PM(122) HA(131) HM(136) PP(139) PA(160)
[1303] N(482) HP(1972) HA(2489) HM(2568) PM(2914) PP(3457) PA(3749)
[1304] N(894) HP(3867) HA(4815) HM(4937) PP(6215) PM(6563) PA(6949)
[1305] N(168) HP(621) HA(807) HM(811) PM(864) PP(1025) PA(1233)
[1306] N(505) HP(2068) HA(2592) HM(2686) PP(3305) PM(3379) PA(3684)
[1307] N(843) HP(1685) HA(3104) HM(3369) PM(5502) PA(7358) PP(357430)
[1308] N(26) HP(78) PP(99) PM(104) HA(105) HM(108) PA(137)
[1309] N(676) HP(2839) HA(3510) HM(3663) PM(4368) PP(4640) PA(5119)
[1310] N(512) HP(2075) HA(2648) HM(2690) PM(3340) PA(3437) PP(3514)
[1311] N(995) HP(4392) HA(5353) HM(5525) PP(6545) PM(6648) PA(8477)
[1312] N(617) HP(2596) HA(3240) HM(3336) PM(3963) PP(4744) PA(4911)
[1313] N(937) HP(3994) HA(5034) HM(5160) PM(5753) PP(6338) PA(7115)
[1314] N(640) HP(2702) HA(3359) HM(3390) PM(3760) PP(4428) PA(5243)
[1315] N(765) HP(3277) HA(4020) HM(4174) PP(4901) PM(4970) PA(5892)
[1316] N(602) HP(2529) HA(3132) HM(3197) PM(3882) PA(4225) PP(4658)
[1317] N(251) HP(970) HA(1240) HM(1258) PM(1337) PP(1399) PA(1894)
[1318] N(680) HP(2851) HA(3525) HM(3674) PM(4402) PP(5348) PA(5356)
[1319] N(737) HP(3110) HA(3828) HM(4005) PP(5090) PM(5174) PA(5526)
[1320] N(428) HP(1729) HA(2187) HM(2253) PM(2816) PP(2903) PA(3415)
[1321] N(952) HP(4160) HA(5079) HM(5258) PM(6151) PP(7057) PA(7587)
[1322] N(367) HP(1483) HA(1829) HM(1915) PM(2274) PA(2413) PP(2427)
[1323] N(912) HP(3878) HA(4898) HM(5000) PM(6860) PA(6968) PP(7677)
[1324] N(24) HP(72) PP(80) PM(89) HA(92) HM(102) PA(111)
[1325] N(768) HP(3236) HA(4064) HM(4185) PM(4784) PP(5093) PA(6591)
[1326] N(255) HP(985) HA(1248) PM(1282) HM(1303) PP(1692) PA(2140)
[1327] N(425) HP(1687) HA(2174) HM(2238) PP(2749) PA(2855) PM(2946)
[1328] N(637) HP(2660) HA(3306) HM(3433) PM(4037) PP(4326) PA(5483)
[1329] N(631) HP(2652) HA(3317) HM(3418) PM(4306) PA(4375) PP(4386)
[1330] N(248) HP(963) HA(1218) HM(1260) PM(1568) PP(1693) PA(1733)
[1331] N(805) HP(3465) HA(4328) HM(4406) PM(5522) PP(5575) PA(6058)
[1332] N(440) HP(1776) HA(2211) HM(2321) PM(2811) PP(3362) PA(3391)
[1333] N(241) HP(960) HA(1187) HM(1223) PM(1287) PP(1377) PA(1830)
[1334] N(714) HP(2992) HA(3721) HM(3864) PM(4394) PP(4759) PA(5472)
[1335] N(674) HP(2810) HA(3490) HM(3649) PM(4258) PP(4681) PA(5234)
[1336] N(279) HP(1118) HA(1401) HM(1435) PP(1516) PM(1670) PA(1953)
[1337] N(416) HP(1696) HA(2094) HM(2167) PM(2363) PP(2609) PA(3132)
[1338] N(61) HP(212) HA(268) PM(275) HM(279) PA(337) PP(349)
[1339] N(971) HP(4242) HA(5234) HM(5384) PM(6387) PP(6997) PA(7750)
[1340] N(949) HP(4080) HA(5066) HM(5209) PM(7316) PA(7340) PP(7758)
[1341] N(575) HP(2422) HA(2968) HM(3061) PM(3739) PP(3847) PA(4405)
[1342] N(381) HP(1531) HA(1914) HM(1990) PM(2366) PP(2432) PA(2674)
[1343] N(933) HP(4021) HA(5020) HM(5099) PM(6052) PP(6365) PA(8049)
[1344] N(614) HP(2582) HA(3214) HM(3328) PM(3742) PA(4442) PP(4460)
[1345] N(288) HP(1153) HA(1426) HM(1490) PM(1736) PP(1772) PA(1821)
[1346] N(855) HP(3667) HA(4570) HM(4683) PP(5819) PM(6258) PA(6776)
[1347] N(626) HP(2651) HA(3275) HM(3368) PM(3863) PP(4308) PA(4709)
[1348] N(196) HP(734) HA(942) HM(978) PM(1071) PP(1083) PA(1328)
[1349] N(226) HP(871) HA(1086) HM(1143) PM(1264) PP(1317) PA(1439)
[1350] N(920) HP(3970) HA(4953) HM(5072) PM(5841) PP(6678) PA(8462)
[1351] N(987) HP(4268) HA(5268) HM(5465) PM(6836) PP(7124) PA(7488)
[1352] N(143) HP(524) HA(666) HM(690) PP(716) PM(752) PA(833)
[1353] N(884) HP(3847) HA(4706) HM(4890) PP(5785) PM(6115) PA(6757)
[1354] N(236) HP(891) HA(1140) HM(1196) PM(1380) PP(1514) PA(1625)
[1355] N(998) HP(4340) HA(5388) HM(5500) PP(7146) PA(7652) PM(8058)
[1356] N(770) HP(3263) HA(4094) HM(4138) PA(5821) PP(5853) PM(6011)
[1357] N(866) HP(3741) HA(4632) HM(4744) PP(5777) PM(6042) PA(6743)
[1358] N(468) HP(1938) HA(2388) HM(2491) PM(2905) PP(2973) PA(3439)
[1359] N(695) HP(1389) HA(2543) HM(2777) PM(4546) PA(5445) PP(243248)
[1360] N(721) HP(3026) HA(3812) HM(3973) PP(5175) PA(5248) PM(5342)
[1361] N(291) HP(1144) HA(1451) HM(1474) PM(1568) PP(1840) PA(2161)
[1362] N(721) HP(1441) HA(2664) HM(2880) PM(4766) PA(5618) PP(261721)
[1363] N(387) HP(773) HA(1429) HM(1545) PM(2390) PA(2847) PP(75850)
[1364] N(429) HP(1756) HA(2198) HM(2252) PM(2576) PA(2938) PP(3239)
[1365] N(560) HP(2384) HA(2868) HM(3003) PM(3822) PP(3951) PA(5200)
[1366] N(641) HP(1281) HA(2358) HM(2561) PM(4053) PA(4648) PP(207041)
[1367] N(928) HP(3967) HA(4954) HM(5100) PM(6002) PA(7722) PP(7962)
[1368] N(509) HP(2091) HA(2601) HM(2712) PM(3273) PP(3588) PA(4060)
[1369] N(692) HP(2929) HA(3644) HM(3770) PM(4331) PP(4907) PA(5678)
[1370] N(884) HP(1767) HA(3251) HM(3533) PM(5666) PA(7977) PP(392936)
[1371] N(674) HP(2817) HA(3548) HM(3673) PM(4334) PA(4531) PP(4859)
[1372] N(124) HP(455) PP(560) HA(582) HM(589) PM(602) PA(704)
[1373] N(281) HP(1109) HA(1385) HM(1438) PM(1678) PP(1785) PA(2187)
[1374] N(972) HP(4168) HA(5241) HM(5404) PM(6938) PA(7352) PP(8347)
[1375] N(649) HP(2748) HA(3379) HM(3495) PM(4203) PP(4854) PA(5749)
[1376] N(328) HP(655) HA(1193) HM(1309) PM(1940) PA(2378) PP(54610)
[1377] N(288) HP(1141) HA(1423) HM(1480) PP(1755) PM(1996) PA(2114)
[1378] N(409) HP(1677) HA(2029) HM(2140) PM(2413) PP(2842) PA(3140)
[1379] N(902) HP(3841) HA(4827) HM(4994) PM(6005) PP(6015) PA(7024)
[1380] N(512) HP(2101) HA(2640) HM(2697) PM(3302) PA(3825) PP(4308)
[1381] N(627) HP(2640) HA(3290) HM(3359) PP(4542) PM(4960) PA(5015)
[1382] N(184) HP(693) HA(905) HM(915) PM(961) PA(985) PP(1020)
[1383] N(503) HP(2034) HA(2578) HM(2654) PP(3295) PM(3313) PA(3584)
[1384] N(594) HP(2479) HA(3039) HM(3204) PM(3624) PA(4642) PP(4887)
[1385] N(267) HP(1044) HA(1320) HM(1343) PP(1427) PA(1548) PM(1619)
[1386] N(828) HP(3573) HA(4385) HM(4575) PM(5354) PA(5953) PP(6602)
[1387] N(472) HP(1943) HA(2415) HM(2482) PM(2945) PP(3075) PA(3265)
[1388] N(74) HP(255) PM(313) HA(325) HM(348) PA(400) PP(414)
[1389] N(611) HP(2539) HA(3205) HM(3344) PM(4057) PP(4269) PA(4418)
[1390] N(875) HP(3763) HA(4653) HM(4814) PM(5926) PP(6600) PA(6806)
[1391] N(238) HP(911) HA(1150) HM(1199) PA(1486) PM(1488) PP(1647)
[1392] N(647) HP(2703) HA(3387) HM(3477) PM(4296) PA(4507) PP(4813)
[1393] N(392) HP(1578) HA(1981) HM(2061) PM(2352) PP(2482) PA(2845)
[1394] N(198) HP(752) HA(955) HM(988) PM(998) PP(1114) PA(1291)
[1395] N(899) HP(3898) HA(4799) HM(5007) PP(6300) PM(6764) PA(7345)
[1396] N(403) HP(1596) HA(2052) HM(2096) PM(2524) PP(2697) PA(2829)
[1397] N(963) HP(1925) HA(3555) HM(3849) PM(5970) PA(7445) PP(466090)
[1398] N(945) HP(4100) HA(5036) HM(5238) PM(6202) PP(6439) PA(7558)
[1399] N(904) HP(3917) HA(4841) HM(4949) PP(6357) PM(7229) PA(7777)
[1400] N(560) HP(1119) HA(2053) HM(2237) PM(3321) PA(4372) PP(158198)
[1401] N(584) HP(2456) HA(3036) HM(3144) PP(3520) PM(3715) PA(4736)
[1402] N(914) HP(3921) HA(4891) HM(5030) PM(5701) PA(6552) PP(7312)
[1403] N(464) HP(1890) HA(2372) HM(2432) PM(2895) PP(3152) PA(3500)
[1404] N(861) HP(3688) HA(4538) HM(4712) PM(6120) PP(6311) PA(6949)
[1405] N(200) HP(764) HA(954) HM(984) PM(1135) PP(1364) PA(1541)
[1406] N(550) HP(2278) HA(2854) HM(2935) PM(3667) PP(3912) PA(4028)
[1407] N(605) HP(2535) HA(3138) HM(3240) PA(4062) PM(4226) PP(4436)
[1408] N(392) HP(783) HA(1430) HM(1565) PM(2416) PA(2822) PP(77810)
[1409] N(848) HP(3699) HA(4487) HM(4642) PM(5624) PA(6512) PP(6614)
[1410] N(898) HP(3893) HA(4801) HM(4981) PM(5708) PP(6369) PA(7204)
[1411] N(955) HP(4126) HA(5155) HM(5325) PM(6364) PP(7836) PA(8284)
[1412] N(453) HP(1848) HA(2334) HM(2388) PM(2750) PP(3020) PA(3815)
[1413] N(415) HP(1686) HA(2100) HM(2209) PM(2595) PP(2793) PA(3005)
[1414] N(101) HP(360) HA(461) PP(480) HM(480) PM(549) PA(564)
[1415] N(982) HP(4197) HA(5306) HM(5491) PM(6302) PA(7773) PP(8453)
[1416] N(408) HP(1681) HA(2093) HM(2116) PM(2535) PP(2613) PA(2828)
[1417] N(292) HP(1154) HA(1450) HM(1488) PM(1669) PP(1967) PA(2030)
[1418] N(296) HP(1181) HA(1466) HM(1526) PM(1549) PP(1702) PA(1906)
[1419] N(186) HP(702) HA(891) HM(935) PP(1041) PM(1053) PA(1138)
[1420] N(766) HP(3249) HA(4082) HM(4180) PM(4789) PA(5995) PP(6283)
[1421] N(148) HP(548) PP(638) HA(700) HM(720) PM(738) PA(834)
[1422] N(36) HP(71) HA(128) HM(141) PM(150) PA(155) PP(736)
[1423] N(810) HP(3459) HA(4342) HM(4460) PM(5000) PA(6054) PP(6544)
[1424] N(300) HP(1192) HA(1487) HM(1554) PM(1764) PP(2067) PA(2082)
[1425] N(905) HP(3962) HA(4855) HM(5010) PM(6562) PA(6768) PP(7491)
[1426] N(233) HP(898) HA(1129) PM(1185) HM(1187) PP(1326) PA(1565)
[1427] N(360) HP(1452) HA(1811) HM(1886) PM(2224) PP(2395) PA(2486)
[1428] N(211) HP(785) HA(1003) HM(1052) PM(1114) PP(1119) PA(1526)
[1429] N(158) HP(569) HA(735) HM(772) PP(859) PM(897) PA(1113)
[1430] N(236) HP(918) HA(1153) HM(1204) PM(1305) PP(1465) PA(1731)
[1431] N(458) HP(1866) HA(2336) HM(2407) PM(2735) PP(3053) PA(3832)
[1432] N(970) HP(4203) HA(5234) HM(5441) PP(6741) PM(7204) PA(8006)
[1433] N(706) HP(3022) HA(3729) HM(3831) PP(4850) PM(4973) PA(5112)
[1434] N(323) HP(1287) HA(1607) HM(1673) PP(1819) PA(1988) PM(2056)
[1435] N(463) HP(1847) HA(2377) HM(2443) PM(2718) PA(3297) PP(3466)
[1436] N(254) HP(960) HA(1252) HM(1269) PM(1397) PP(1520) PA(1828)
[1437] N(327) HP(1309) HA(1653) HM(1680) PM(2009) PA(2240) PP(2480)
[1438] N(215) HP(429) HA(794) HM(857) PM(1178) PA(1431) PP(23648)
[1439] N(653) HP(2741) HA(3400) HM(3567) PM(4258) PP(4944) PA(5132)
[1440] N(636) HP(1271) HA(2328) HM(2540) PM(4010) PA(5320) PP(203836)
[1441] N(638) HP(2633) HA(3297) HM(3448) PM(3907) PP(4813) PA(5747)
[1442] N(12) HP(36) PP(38) PM(40) HA(44) HM(46) PA(47)
[1443] N(200) HP(761) HA(967) HM(1004) PM(1126) PA(1144) PP(1179)
[1444] N(569) HP(2380) HA(2949) HM(3049) PM(3889) PP(3946) PA(4378)
[1445] N(587) HP(1173) HA(2148) HM(2345) PM(3578) PA(4412) PP(173750)
[1446] N(993) HP(4344) HA(5338) HM(5498) PM(6731) PA(7642) PP(8254)
[1447] N(833) HP(3545) HA(4402) HM(4602) PP(5459) PA(6006) PM(6137)
[1448] N(102) HP(373) HM(479) PP(482) HA(482) PM(521) PA(555)
[1449] N(190) HP(725) HA(929) HM(950) PM(1200) PP(1220) PA(1278)
[1450] N(747) HP(3101) HA(3906) HM(4072) PM(5061) PP(5146) PA(5178)
[1451] N(280) HP(1103) HA(1379) HM(1418) PM(1630) PP(1745) PA(1831)
[1452] N(351) HP(1418) HA(1785) HM(1844) PM(2052) PP(2132) PA(2663)
[1453] N(36) HP(118) HA(150) PM(151) HM(156) PP(165) PA(188)
[1454] N(609) HP(2522) HA(3163) HM(3297) PM(3750) PP(4133) PA(4643)
[1455] N(1000) HP(4382) HA(5378) HM(5559) PM(6719) PP(7596) PA(8184)
[1456] N(451) HP(1836) HA(2288) HM(2382) PM(2653) PA(3338) PP(3352)
[1457] N(846) HP(3652) HA(4491) HM(4634) PP(5789) PM(6261) PA(7077)
[1458] N(121) HP(431) HA(560) HM(582) PM(614) PP(644) PA(668)
[1459] N(75) HP(267) HA(339) PP(340) HM(349) PM(373) PA(419)
[1460] N(502) HP(2042) HA(2559) HM(2697) PM(3401) PA(4201) PP(4223)
[1461] N(99) HP(348) HA(441) HM(464) PP(476) PM(551) PA(670)
[1462] N(243) HP(934) HA(1190) HM(1217) PP(1339) PM(1367) PA(1961)
[1463] N(747) HP(3171) HA(3911) HM(4062) PM(4603) PP(5422) PA(5557)
[1464] N(660) HP(2770) HA(3461) HM(3595) PP(4292) PM(4482) PA(5090)
[1465] N(73) HP(253) HA(317) PP(330) HM(331) PM(341) PA(447)
[1466] N(624) HP(2583) HA(3254) HM(3348) PP(4029) PM(4126) PA(4912)
[1467] N(354) HP(1414) HA(1765) HM(1853) PM(2299) PA(2372) PP(2378)
[1468] N(374) HP(1498) HA(1871) HM(1924) PM(2298) PP(2720) PA(3160)
[1469] N(85) HP(293) HA(382) PM(384) HM(392) PP(424) PA(471)
[1470] N(460) HP(1861) HA(2362) HM(2438) PM(2766) PP(2938) PA(3186)
[1471] N(196) HP(391) HA(711) HM(781) PM(1111) PA(1326) PP(19696)
[1472] N(838) HP(3546) HA(4497) HM(4605) PP(5793) PM(6098) PA(6413)
[1473] N(134) HP(482) HA(625) HM(652) PP(668) PM(718) PA(742)
[1474] N(787) HP(3392) HA(4195) HM(4336) PM(5709) PP(5750) PA(6273)
[1475] N(55) HP(191) PM(238) HA(243) PP(246) HM(249) PA(309)
[1476] N(37) HP(122) PP(144) HA(154) PM(155) HM(160) PA(178)
[1477] N(392) HP(1555) HA(1986) HM(2062) PM(2336) PA(2527) PP(3322)
[1478] N(186) HP(706) HA(886) HM(919) PP(936) PM(1076) PA(1353)
[1479] N(940) HP(4083) HA(5029) HM(5210) PP(5990) PM(6108) PA(8508)
[1480] N(42) HP(83) HA(148) HM(165) PM(192) PA(193) PP(985)
[1481] N(300) HP(1169) HA(1504) HM(1550) PM(1744) PP(1798) PA(2032)
[1482] N(362) HP(1416) HA(1835) HM(1868) PP(2058) PM(2067) PA(2603)
[1483] N(377) HP(753) HA(1390) HM(1505) PM(2329) PA(2636) PP(72005)
[1484] N(378) HP(1510) HA(1892) HM(1974) PM(2327) PP(2395) PA(2600)
[1485] N(320) HP(1267) HA(1571) HM(1615) PM(1834) PP(2257) PA(2308)
[1486] N(556) HP(2330) HA(2884) HM(2998) PM(3491) PP(3628) PA(4845)
[1487] N(308) HP(1235) HA(1510) HM(1587) PM(1703) PP(1921) PA(2380)
[1488] N(64) HP(127) HA(228) HM(253) PM(264) PA(343) PP(2206)
[1489] N(251) HP(977) HA(1238) HM(1283) PP(1452) PM(1472) PA(1757)
[1490] N(807) HP(3427) HA(4267) HM(4424) PM(5177) PP(5535) PA(6125)
[1491] N(971) HP(4214) HA(5175) HM(5355) PP(6788) PM(7408) PA(7591)
[1492] N(164) HP(610) HA(773) HM(801) PM(928) PP(1028) PA(1067)
[1493] N(919) HP(3975) HA(4903) HM(5089) PM(5746) PP(7136) PA(8767)
[1494] N(188) HP(690) HA(897) HM(936) PM(1049) PP(1056) PA(1205)
[1495] N(39) HP(128) PP(163) HA(165) PA(169) HM(170) PM(175)
[1496] N(138) HP(504) HA(636) HM(657) PP(693) PM(701) PA(892)
[1497] N(903) HP(3865) HA(4817) HM(4968) PP(6207) PM(6224) PA(8213)
[1498] N(672) HP(2812) HA(3517) HM(3653) PP(4360) PM(4437) PA(5015)
[1499] N(330) HP(1318) HA(1646) HM(1707) PM(1896) PP(2101) PA(2522)
[1500] N(974) HP(4293) HA(5218) HM(5412) PM(6632) PP(6905) PA(7927)
[1501] N(931) HP(4068) HA(4958) HM(5192) PM(5990) PA(7496) PP(8181)
[1502] N(787) HP(3404) HA(4094) HM(4293) PM(5791) PA(6216) PP(7736)
[1503] N(59) HP(196) PP(245) HM(259) HA(259) PM(283) PA(315)
[1504] N(840) HP(3669) HA(4464) HM(4599) PP(5714) PM(6000) PA(6103)
[1505] N(734) HP(3084) HA(3837) HM(4017) PM(4618) PP(5313) PA(6090)
[1506] N(229) HP(457) HA(850) HM(913) PM(1221) PA(1528) PP(26791)
[1507] N(193) HP(735) HA(923) HM(966) PP(1015) PM(1131) PA(1170)
[1508] N(628) HP(2654) HA(3306) HM(3380) PM(4086) PP(4088) PA(4641)
[1509] N(561) HP(1121) HA(2071) HM(2241) PM(3331) PA(4484) PP(158761)
[1510] N(947) HP(4026) HA(5077) HM(5215) PM(6745) PP(6949) PA(7131)
[1511] N(646) HP(2744) HA(3345) HM(3477) PP(4291) PM(4310) PA(4724)
[1512] N(712) HP(2994) HA(3755) HM(3857) PM(4785) PP(4793) PA(5077)
[1513] N(720) HP(3092) HA(3773) HM(3871) PM(4990) PP(5108) PA(5550)
[1514] N(107) HP(382) PP(482) HA(497) HM(510) PM(556) PA(585)
[1515] N(488) HP(2023) HA(2501) HM(2603) PM(3171) PA(3423) PP(3568)
[1516] N(236) HP(903) HA(1154) HM(1197) PM(1322) PP(1418) PA(1564)
[1517] N(653) HP(2748) HA(3407) HM(3541) PM(4519) PP(4645) PA(5303)
[1518] N(271) HP(1069) HA(1322) HM(1387) PP(1426) PM(1543) PA(2065)
[1519] N(376) HP(1505) HA(1909) HM(1965) PM(2140) PP(2523) PA(2861)
[1520] N(131) HP(484) HA(608) HM(634) PP(675) PM(703) PA(964)
[1521] N(143) HP(285) HA(524) HM(569) PM(718) PA(900) PP(10580)
[1522] N(203) HP(763) HA(977) HM(999) PP(1115) PA(1260) PM(1317)
[1523] N(531) HP(2168) HA(2723) HM(2813) PM(3261) PP(3933) PA(4052)
[1524] N(766) HP(3250) HA(4092) HM(4228) PP(5115) PM(5409) PA(5436)
[1525] N(239) HP(928) HA(1154) HM(1202) PM(1300) PP(1394) PA(1787)
[1526] N(449) HP(1844) HA(2302) HM(2345) PM(2494) PP(2758) PA(3077)
[1527] N(823) HP(3537) HA(4339) HM(4527) PM(5223) PP(6322) PA(7230)
[1528] N(69) HP(241) HA(304) PM(307) PP(310) HM(316) PA(373)
[1529] N(326) HP(651) HA(1206) HM(1301) PM(1922) PA(2293) PP(53951)
[1530] N(437) HP(1797) HA(2252) HM(2296) PP(2734) PM(2858) PA(3390)
[1531] N(604) HP(2513) HA(3196) HM(3247) PP(3664) PM(3899) PA(4455)
[1532] N(333) HP(1309) HA(1666) HM(1709) PM(1911) PP(2062) PA(2073)
[1533] N(567) HP(2301) HA(2916) HM(3005) PP(3433) PM(3900) PA(4235)
[1534] N(681) HP(2872) HA(3586) HM(3697) PM(4541) PP(4693) PA(5305)
[1535] N(27) HP(85) PM(108) HA(110) PP(111) PA(114) HM(118)
[1536] N(970) HP(4221) HA(5196) HM(5398) PM(6168) PP(6739) PA(8267)
[1537] N(755) HP(3185) HA(3990) HM(4138) PM(4958) PP(5424) PA(5578)
[1538] N(866) HP(3693) HA(4595) HM(4745) PM(5481) PP(6212) PA(6317)
[1539] N(700) HP(2977) HA(3674) HM(3782) PM(4533) PP(5472) PA(5572)
[1540] N(245) HP(489) HA(901) HM(977) PM(1263) PA(1414) PP(30623)
[1541] N(34) HP(108) HA(141) PP(143) PA(144) HM(149) PM(153)
[1542] N(281) HP(1109) HA(1377) HM(1447) PM(1608) PP(1622) PA(1657)
[1543] N(708) HP(3008) HA(3726) HM(3855) PM(4528) PA(4878) PP(5350)
[1544] N(403) HP(1616) HA(2053) HM(2100) PP(2377) PM(2515) PA(3121)
[1545] N(640) HP(2688) HA(3306) HM(3447) PM(4056) PP(4439) PA(4448)
[1546] N(212) HP(819) HA(1033) HM(1072) PM(1186) PP(1407) PA(1560)
[1547] N(66) HP(235) PM(262) HA(293) HM(299) PP(368) PA(383)
[1548] N(641) HP(2698) HA(3308) HM(3460) PM(4115) PA(4235) PP(5268)
[1549] N(890) HP(3806) HA(4700) HM(4875) PM(6081) PP(6396) PA(6898)
[1550] N(371) HP(1477) HA(1863) HM(1932) PM(2096) PP(2152) PA(2503)
[1551] N(340) HP(1360) HA(1720) HM(1759) PM(1930) PP(2093) PA(2398)
[1552] N(414) HP(827) HA(1517) HM(1652) PM(2508) PA(3303) PP(86731)
[1553] N(609) HP(2538) HA(3210) HM(3261) PP(4118) PM(4167) PA(4403)
[1554] N(750) HP(3168) HA(3917) HM(4100) PM(5052) PA(5312) PP(5765)
[1555] N(970) HP(4189) HA(5178) HM(5428) PP(6507) PM(6576) PA(7380)
[1556] N(895) HP(3843) HA(4749) HM(4952) PP(6228) PM(6588) PA(7421)
[1557] N(799) HP(3433) HA(4219) HM(4402) PP(5067) PM(5535) PA(6448)
[1558] N(462) HP(1881) HA(2357) HM(2425) PM(2907) PP(3175) PA(3646)
[1559] N(327) HP(1305) HA(1642) HM(1706) PM(1971) PA(2199) PP(2415)
[1560] N(87) HP(304) PP(365) HA(389) HM(414) PM(433) PA(452)
[1561] N(71) HP(241) HA(306) PP(324) HM(334) PM(344) PA(442)
[1562] N(578) HP(2399) HA(2990) HM(3096) PM(3633) PA(4270) PP(4322)
[1563] N(375) HP(1557) HA(1881) HM(1939) PM(2130) PP(2188) PA(2684)
[1564] N(661) HP(2743) HA(3452) HM(3619) PM(4109) PA(4552) PP(4849)
[1565] N(384) HP(1530) HA(1951) HM(1985) PM(2466) PP(2495) PA(2595)
[1566] N(725) HP(3015) HA(3816) HM(3945) PM(4900) PA(5348) PP(5565)
[1567] N(941) HP(4073) HA(5048) HM(5254) PM(6732) PP(6861) PA(6862)
[1568] N(629) HP(2626) HA(3290) HM(3382) PM(3847) PP(4411) PA(4807)
[1569] N(550) HP(2318) HA(2859) HM(2941) PP(3551) PM(3774) PA(4787)
[1570] N(97) HP(356) HA(446) PM(459) HM(463) PP(505) PA(650)
[1571] N(481) HP(1993) HA(2486) HM(2600) PM(2965) PP(2972) PA(3346)
[1572] N(955) HP(4158) HA(5181) HM(5285) PM(6273) PP(6313) PA(7894)
[1573] N(349) HP(697) HA(1276) HM(1393) PM(2113) PA(2482) PP(61771)
[1574] N(36) HP(119) PM(142) HA(151) HM(154) PP(171) PA(194)
[1575] N(316) HP(1253) HA(1586) HM(1623) PM(1790) PP(2110) PA(2190)
[1576] N(115) HP(423) HA(545) HM(558) PM(602) PP(631) PA(647)
[1577] N(854) HP(3697) HA(4479) HM(4737) PM(6149) PP(6189) PA(7405)
[1578] N(18) HP(58) PP(66) HA(68) PM(70) HM(75) PA(78)
[1579] N(226) HP(864) HA(1087) HM(1147) PM(1254) PP(1370) PA(1459)
[1580] N(82) HP(286) PP(342) PM(378) HA(379) HM(396) PA(435)
[1581] N(827) HP(3578) HA(4469) HM(4501) PP(5392) PM(5492) PA(7116)
[1582] N(270) HP(1034) HA(1344) HM(1372) PM(1502) PP(1628) PA(1676)
[1583] N(844) HP(1687) HA(3105) HM(3373) PM(5507) PA(6797) PP(358276)
[1584] N(43) HP(144) HA(180) PP(183) PM(186) HM(188) PA(249)
[1585] N(739) HP(3103) HA(3881) HM(4040) PM(4750) PP(4797) PA(5751)
[1586] N(740) HP(3151) HA(3872) HM(4005) PP(4787) PM(5069) PA(5565)
[1587] N(411) HP(1649) HA(2115) HM(2164) PM(2696) PP(2744) PA(3155)
[1588] N(761) HP(3254) HA(3958) HM(4170) PM(4590) PA(5566) PP(5916)
[1589] N(338) HP(1342) HA(1686) HM(1758) PM(2101) PP(2316) PA(2352)
[1590] N(177) HP(676) PP(844) HA(851) HM(884) PM(919) PA(1165)
[1591] N(600) HP(2497) HA(3092) HM(3201) PM(3719) PP(4083) PA(4438)
[1592] N(863) HP(3629) HA(4577) HM(4799) PM(6003) PP(6111) PA(7552)
[1593] N(139) HP(524) HA(649) HM(667) PM(679) PP(688) PA(702)
[1594] N(619) HP(2586) HA(3230) HM(3335) PP(4003) PM(4223) PA(4244)
[1595] N(858) HP(1715) HA(3136) HM(3428) PM(5573) PA(6991) PP(370225)
[1596] N(296) HP(1170) HA(1483) HM(1529) PM(1564) PP(1890) PA(2203)
[1597] N(731) HP(3092) HA(3829) HM(3980) PM(4637) PA(5882) PP(6301)
[1598] N(464) HP(1916) HA(2378) HM(2473) PP(2826) PM(2968) PA(3282)
[1599] N(821) HP(3523) HA(4353) HM(4533) PM(6011) PP(6158) PA(6311)
[1600] N(120) HP(437) PP(549) HA(562) HM(563) PM(599) PA(721)
[1601] N(416) HP(831) HA(1545) HM(1661) PM(2516) PA(2673) PP(87566)
[1602] N(233) HP(887) HA(1132) HM(1162) PA(1383) PM(1420) PP(1601)
[1603] N(107) HP(370) HA(494) HM(501) PM(530) PP(566) PA(632)
[1604] N(893) HP(3818) HA(4757) HM(4949) PM(5859) PA(7217) PP(8030)
[1605] N(13) HP(39) PP(43) PM(43) HA(48) PA(52) HM(52)
[1606] N(470) HP(1926) HA(2423) HM(2477) PM(2893) PA(3420) PP(3462)
[1607] N(875) HP(3840) HA(4633) HM(4837) PP(5677) PM(6414) PA(7572)
[1608] N(967) HP(4148) HA(5198) HM(5363) PP(7043) PM(7080) PA(8820)
